use atm,6
withdraw money,4
allow you,4
accept deposit,3
enter amount,3
use slip,3
insert card,3
have option,3
check balance,3
transfer money,3
make deposit,2
prepare slip,2
insert envelope,2
enter number,2
insert check,2
deposit money,2
make payment,2
have function,1
have slot,1
dispense envelope,1
permit deposit,1
check policy,1
insert ATM,1
withdraw cash,1
locate tab,1
endorse check,1
sign they,1
lose check,1
fill name,1
add date,1
sign slip,1
seek cash,1
sign check,1
limit time,1
annoy those,1
use envelope,1
have door,1
reveal envelope,1
spit they,1
transfer it,1
ask you,1
need time,1
prepare deposit,1
give yourself,1
add time,1
get everything,1
verify deposit,1
flash light,1
receive envelope,1
write amount,1
need reminder,1
take care,1
correct discrepancy,1
get thing,1
want receipt,1
keep it,1
deposit fund,1
deposit they,1
consider deposit,1
practice procedure,1
find machine,1
face inward,1
have fee,1
own card,1
use card,1
charge fee,1
have account,1
access ATM,1
swipe card,1
add security,1
Select language,1
offer transaction,1
enter pin,1
access account,1
shield pad,1
see it,1
steal information,1
incur fee,1
withdraw amount,1
want money,1
insert stack,1
count they,1
deposit check,1
feed check,1
provide you,1
have one,1
fill envelope,1
get envelope,1
fill detail,1
reinsert card,1
start process,1
have money,1
pay pre-set,1
follow prompt,1
end session,1
complete transaction,1
get card,1
press x,1
take card,1
take money,1
take all,1
include phone,1
use banking,1
use phone,1
include many,1
see you,1
help I,1
